Instances,No Rotation No SB,No Rotation SB,Rotation SB,Rotation No SB
Instance 1,0.2910737991333008,2.557846069335937,0.2508068084716797,0.5176472663879395
Instance 2,0.2398097515106201,1.6782865524291992,0.2512071132659912,0.5619106292724609
Instance 3,2.317441701889038,1.601175308227539,0.2824609279632568,0.6113014221191406
Instance 4,1.3114862442016602,1.4270546436309814,0.3130955696105957,0.6741926670074463
Instance 5,1.1999804973602295,1.333289384841919,0.4078631401062011,0.8152320384979248
Instance 6,1.3501558303833008,1.459265947341919,0.4078609943389892,0.8464970588684082
Instance 7,1.5914711952209473,1.505617618560791,0.6248202323913574,1.4747166633605957
Instance 8,1.7157509326934814,1.0045037269592283,0.5956687927246094,1.615345478057861
Instance 9,4.124932289123535,1.0826315879821775,0.4738893508911133,1.5217077732086182
Instance 10,1.2454156875610352,1.0407812595367432,2.749728441238404,3.230733156204224
Instance 11,3.213173151016236,1.1875813007354736,6.259978294372559,3.199524641036988
Instance 12,2.1594443321228027,1.4067378044128418,7.672637701034546,7.4195616245269775
Instance 13,3.3678295612335205,1.5165290832519531,6.3187689781188965,2.6187045574188232
Instance 14,2.2912845611572266,1.5004944801330566,6.532869338989258,12.611966848373411
Instance 15,1.3295724391937256,2.2349154949188232,6.313711643218994,8.65959882736206
Instance 16,15.741259336471558,17.61637234687805,13.472819089889526,18.18188118934632
Instance 17,0.9773454666137696,1.2821238040924072,14.818646669387816,49.26978635787964
Instance 18,3.3874199390411377,5.392583847045898,17.631009340286255,65.19994711875916
Instance 19,29.82376599311829,79.55170226097107,34.9185745716095,48.3087522983551
Instance 20,1.145451307296753,0.5781638622283936,62.14586520195007,60.74010419845581
Instance 21,1.2079715728759766,0.7348253726959229,208.94539880752563,137.13505125045776
Instance 22,0.7532265186309814,0.6562938690185547,300.4399631023407,57.6073808670044
Instance 23,1.0820956230163574,0.922022581100464,3.797928094863892,110.79505491256714
Instance 24,0.8312463760375977,0.5625362396240234,68.16441655158997,19.412793159484863
Instance 25,1.3181722164154053,0.7187974452972412,300.5713047981262,301.1916334629059
Instance 26,5.672681570053101,7.191156625747681,113.51041913032532,136.15425372123718
Instance 27,2.081622362136841,1.61067795753479,24.57220768928528,121.00405740737916
Instance 28,2.446762800216675,1.6407339572906494,146.75890588760376,215.2780430316925
Instance 29,1.9292068481445312,1.5004920959472656,97.66140508651732,100.90809726715088
Instance 30,3.902771234512329,1.719269037246704,300.5956404209137,300.4992878437042
Instance 31,4.508061408996582,3.501433849334717,63.663867473602295,37.44304394721985
Instance 32,1.914334774017334,1.6255905628204346,300.6604371070862,300.9073574542999
Instance 33,1.5368049144744873,1.7665376663208008,68.53536295890808,12.893555164337158
Instance 34,54.32273745536804,35.814685583114624,7.533753156661987,11.590983629226685
Instance 35,5.976617336273193,7.612271547317505,43.40752840042114,31.43639230728149
Instance 36,1.111194133758545,1.6571612358093262,5.407007932662964,4.219196557998657
Instance 37,175.38006830215454,31.682762145996094,301.0275793075561,300.83684277534485
Instance 38,245.22231936454773,130.67658925056458,300.6536486148834,109.73846292495728
Instance 39,54.93793940544128,60.75425457954407,300.58827209472656,300.6725676059723
Instance 40,301.2946536540985,301.3419020175934,,
